"filename", "language", "JSON", "JavaScript", "Vue", "XML", "SCSS", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 18, 0, 0, 12, 30
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 30, 0, 2, 32
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\public\logo.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\public\trendingIcon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\App.vue", "Vue", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\assets\_spinner.scss", "SCSS", 0, 0, 0, 0, 46, 0, 0, 0, 4, 50
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\assets\icons\facebook.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\assets\icons\linkedin-icon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\assets\icons\twitter.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\assets\icons\whatsapp.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\assets\images\404Image.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\assets\main.scss", "SCSS", 0, 0, 0, 0, 37, 0, 0, 1, 5, 43
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\assets\tailwind.scss", "SCSS", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\axios\index.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\chats\AllChats.vue", "Vue", 0, 0, 71, 0, 0, 0, 0, 1, 7, 79
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\chats\ChatHistoryComponent.vue", "Vue", 0, 0, 86, 0, 0, 0, 0, 0, 5, 91
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\chats\CommunityComponent.vue", "Vue", 0, 0, 77, 0, 0, 0, 0, 0, 6, 83
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\chats\MessageComponent.vue", "Vue", 0, 0, 109, 0, 0, 0, 0, 0, 10, 119
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\chats\SkeletonLoader.vue", "Vue", 0, 0, 44, 0, 0, 0, 0, 0, 3, 47
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\events\ActiveEvents.vue", "Vue", 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\events\Spaces.vue", "Vue", 0, 0, 8, 0, 0, 0, 0, 0, 5, 13
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\events\UserEvents.vue", "Vue", 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\home\AnimatedImage.vue", "Vue", 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\home\FeaturesComponent.vue", "Vue", 0, 0, 30, 0, 0, 0, 0, 0, 4, 34
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\home\FooterComponent.vue", "Vue", 0, 0, 41, 0, 0, 0, 0, 0, 4, 45
